"#Parameters = {h=1.6; lo1=5.55; lo2=4.4; lp=6.7; t=0.035; wg=25; wo1=0.6; wo2=2.96; wp=7.6; yg=25}";
"#""Frequency / GHz""";S1,1 [Magnitude]
99.848.003.387.451;-40.877.212.364.628
99.916.000.366.211;-40.552.729.481.340
99.983.997.344.971;-40.233.418.351.624
10.005.200.386.047;-39.919.146.141.504
10.012.000.083.923;-39.609.766.237.507
10.018.799.781.799;-39.305.135.350.926
10.025.600.433.350;-39.005.109.985.514
10.032.400.131.226;-38.709.575.051.295
10.039.199.829.102;-38.418.386.316.484
10.045.999.526.978;-38.131.437.742.998
10.052.800.178.528;-37.848.600.679.500
10.059.599.876.404;-37.569.772.379.129
10.066.399.574.280;-37.294.844.266.285
10.073.200.225.830;-37.023.701.449.741
10.079.999.923.706;-36.756.273.969.308
10.086.799.621.582;-36.492.429.333.004
10.093.600.273.132;-36.232.129.898.655
10.100.399.971.008;-35.975.234.827.968
10.107.199.668.884;-35.721.700.335.296
10.114.000.320.435;-35.471.443.820.047
10.120.800.018.311;-35.224.376.687.714
10.127.599.716.187;-34.980.461.725.296
10.134.400.367.737;-34.739.609.988.093
10.141.200.065.613;-34.501.757.807.470
10.147.999.763.489;-34.266.870.939.898
10.154.800.415.039;-34.034.890.812.895
10.161.600.112.915;-33.805.740.455.306
10.168.399.810.791;-33.579.401.973.574
10.175.200.462.341;-33.355.831.532.764
10.182.000.160.217;-33.134.969.399.807
10.188.799.858.093;-32.916.790.490.703
10.195.599.555.969;-32.701.256.918.682
10.202.400.207.520;-32.488.352.059.670
10.209.199.905.396;-32.278.023.428.046
10.215.999.603.271;-32.070.256.715.711
10.222.800.254.822;-31.865.020.719.958
10.229.599.952.698;-31.662.320.940.854
10.236.399.650.574;-31.462.086.310.192
10.243.200.302.124;-31.264.348.777.743
10.250.000.000.000;-31.069.077.919.631
10.256.799.697.876;-30.876.238.338.973
10.263.600.349.426;-30.685.849.672.403
10.270.400.047.302;-30.497.881.570.414
10.277.199.745.178;-30.312.327.766.350
10.284.000.396.729;-30.129.165.215.167
10.290.800.094.604;-29.948.420.130.784
10.297.599.792.480;-29.770.059.502.256
10.304.400.444.031;-29.594.090.955.552
10.311.200.141.907;-29.420.515.525.558
10.317.999.839.783;-29.249.303.997.156
10.324.799.537.659;-29.080.483.018.032
10.331.600.189.209;-28.914.027.575.629
10.338.399.887.085;-28.749.936.163.819
10.345.199.584.961;-28.588.221.156.473
10.352.000.236.511;-28.428.864.953.245
10.358.799.934.387;-28.271.885.219.826
10.365.599.632.263;-28.117.275.135.429
10.372.400.283.813;-27.965.003.124.616
10.379.199.981.689;-27.815.117.397.904
10.385.999.679.565;-27.667.563.259.813
10.392.800.331.116;-27.522.362.154.761
10.399.600.028.992;-27.379.504.423.464
10.406.399.726.868;-27.238.992.948.614
10.413.200.378.418;-27.100.804.767.610
10.420.000.076.294;-26.964.977.927.801
10.426.799.774.170;-26.831.452.093.104
10.433.600.425.720;-26.700.239.217.799
10.440.400.123.596;-26.571.344.249.929
10.447.199.821.472;-26.444.740.905.393
